"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 14 10:57:54 BRT 2023","Wed Jun 14 10:58:07 BRT 2023","12976","Cadastro Perfil","Cadastro","","","","Cadastrar Perfil",""
"passed","Wed Jun 14 10:59:47 BRT 2023","Wed Jun 14 10:59:59 BRT 2023","12494","Cadastro Serviços","Cadastro","","","","Cadastrar Serviços",""
"passed","Wed Jun 14 11:20:52 BRT 2023","Wed Jun 14 11:20:55 BRT 2023","3181","Cadastro Garantia Estendida","Excluir","","","","Excluir Garantia Estendida",""
"passed","Wed Jun 14 10:55:22 BRT 2023","Wed Jun 14 10:55:32 BRT 2023","9190","Cadastro Associação de notificações","Alterar","","","","Alterar Associação de notificações",""
"passed","Wed Jun 14 10:56:45 BRT 2023","Wed Jun 14 10:56:57 BRT 2023","12283","Cadastro Grupos de notificações","Excluir","","","","Excluir Grupos de notificações",""
"passed","Wed Jun 14 10:46:20 BRT 2023","Wed Jun 14 10:46:24 BRT 2023","4136","Cadastro Departamento loja","Botão Arvore","","","","Botão Arvore",""
"passed","Wed Jun 14 11:16:29 BRT 2023","Wed Jun 14 11:16:39 BRT 2023","10112","Cadastro Bancos","Cadastro","","","","Cadastrar Bancos",""
"passed","Wed Jun 14 11:17:50 BRT 2023","Wed Jun 14 11:17:59 BRT 2023","8557","Cadastro Chaves criptografia PDV","Alterar","","","","Alterar Chaves criptografia PDV",""
"passed","Wed Jun 14 11:17:39 BRT 2023","Wed Jun 14 11:17:50 BRT 2023","11293","Cadastro Chaves criptografia PDV","Cadastro","","","","Cadastrar Chaves criptografia PDV",""
"passed","Wed Jun 14 10:53:01 BRT 2023","Wed Jun 14 10:53:15 BRT 2023","13933","Cadastro Mercadoria","Alterar","","","","Alterar Mercadoria",""
"passed","Wed Jun 14 10:52:14 BRT 2023","Wed Jun 14 10:52:25 BRT 2023","11409","Cadastro de tabela nutricional(","Alterar","","","","Alterar de tabela nutricional(",""
"passed","Wed Jun 14 11:09:22 BRT 2023","Wed Jun 14 11:09:33 BRT 2023","11184","Cadastro Integradores","Cadastro","","","","Cadastro Integradores",""
"passed","Wed Jun 14 10:43:42 BRT 2023","Wed Jun 14 10:43:58 BRT 2023","15612","Cadastro cliente PJ","Alterar","","","","Alterar cliente PJ",""
"passed","Wed Jun 14 10:42:03 BRT 2023","Wed Jun 14 10:42:11 BRT 2023","8274","Cadastro Coeficiente","Cadastro","","","","Cadastrar Coeficiente",""
"passed","Wed Jun 14 10:42:11 BRT 2023","Wed Jun 14 10:42:18 BRT 2023","7062","Cadastro Coeficiente","Alterar","","","","Alterar Coeficiente",""
"passed","Wed Jun 14 11:23:39 BRT 2023","Wed Jun 14 11:23:49 BRT 2023","9881","Cadastro Leiaute de coletor","Alterar","","","","Alterar Leiaute de coletor",""
"passed","Wed Jun 14 10:50:53 BRT 2023","Wed Jun 14 10:51:02 BRT 2023","8963","Cadastro Familia","Alterar","","","","Alterar Familia",""
"passed","Wed Jun 14 11:18:33 BRT 2023","Wed Jun 14 11:18:42 BRT 2023","8651","Cadastro Combos","Excluir","","","","Excluir Combos",""
"passed","Wed Jun 14 11:02:38 BRT 2023","Wed Jun 14 11:02:49 BRT 2023","11470","Cadastro Transportadoras","Excluir","","","","Excluir Transportadoras",""
"passed","Wed Jun 14 11:18:24 BRT 2023","Wed Jun 14 11:18:33 BRT 2023","8778","Cadastro Combos","Alterar","","","","Alterar Combos",""
"passed","Wed Jun 14 10:50:01 BRT 2023","Wed Jun 14 10:50:13 BRT 2023","12138","Cadastro Faixa Mercadoria","Cadastro","","","","Cadastrar Faixa Mercadoria",""
"passed","Wed Jun 14 10:48:21 BRT 2023","Wed Jun 14 10:48:30 BRT 2023","8782","Cadastro Função Grupo","Alterar","","","","Alterar Função Grupo",""
"passed","Wed Jun 14 10:57:36 BRT 2023","Wed Jun 14 10:57:46 BRT 2023","10855","Cadastro Pagamento e Recebimento","Excluir","","","","Excluir Pagamento e Recebimento",""
"passed","Wed Jun 14 10:46:29 BRT 2023","Wed Jun 14 10:46:39 BRT 2023","9464","Cadastro Departamento loja","Alterar","","","","Alterar Departamento loja",""
"passed","Wed Jun 14 11:21:37 BRT 2023","Wed Jun 14 11:21:50 BRT 2023","12935","Cadastro Grupo de Opções","Cadastro","","","","Cadastrar Grupo de Opções",""
"passed","Wed Jun 14 10:52:25 BRT 2023","Wed Jun 14 10:52:34 BRT 2023","9080","Cadastro de tabela nutricional(","Excluir","","","","Excluir de tabela nutricional(",""
"passed","Wed Jun 14 11:05:32 BRT 2023","Wed Jun 14 11:05:47 BRT 2023","15121","Cadastro Excecao impostos ISS","Cadastro","","","","Cadastrar Excecao impostos ISS",""
"passed","Wed Jun 14 10:54:48 BRT 2023","Wed Jun 14 10:54:57 BRT 2023","8723","Cadastro Moeda","Alterar","","","","Alterar Moeda",""
"passed","Wed Jun 14 10:53:56 BRT 2023","Wed Jun 14 10:54:04 BRT 2023","8056","Cadastro Receita(","Excluir","","","","Excluir Receita(",""
"passed","Wed Jun 14 11:23:49 BRT 2023","Wed Jun 14 11:23:58 BRT 2023","9239","Cadastro Leiaute de coletor","Excluir","","","","Excluir Leiaute de coletor",""
"passed","Wed Jun 14 11:04:15 BRT 2023","Wed Jun 14 11:04:26 BRT 2023","11103","Cadastro CST de entrada","Cadastro","","","","Cadastrar CST de entrada",""
"passed","Wed Jun 14 11:10:11 BRT 2023","Wed Jun 14 11:10:21 BRT 2023","10087","Cadastro Observacao fiscal","Alterar","","","","Alterar Observacao fiscal",""
"passed","Wed Jun 14 10:58:16 BRT 2023","Wed Jun 14 10:58:23 BRT 2023","7746","Cadastro Perfil","Excluir","","","","Excluir Perfil",""
"passed","Wed Jun 14 11:01:19 BRT 2023","Wed Jun 14 11:01:28 BRT 2023","8840","Cadastro Tipo movimento tesouraria","Excluir","","","","Excluir Tipo movimento tesouraria",""
"passed","Wed Jun 14 11:02:12 BRT 2023","Wed Jun 14 11:02:26 BRT 2023","14132","Cadastro Transportadoras","Cadastro","","","","Cadastrar Transportadoras",""
"passed","Wed Jun 14 11:20:48 BRT 2023","Wed Jun 14 11:20:52 BRT 2023","3654","Cadastro Garantia Estendida","Alterar","","","","Alterar Garantia Estendida",""
"passed","Wed Jun 14 10:48:11 BRT 2023","Wed Jun 14 10:48:21 BRT 2023","10139","Cadastro Função Grupo","Cadastro","","","","Cadastrar Função Grupo",""
"passed","Wed Jun 14 10:50:41 BRT 2023","Wed Jun 14 10:50:53 BRT 2023","11602","Cadastro Familia","Cadastro","","","","Cadastro Familia",""
"passed","Wed Jun 14 11:00:00 BRT 2023","Wed Jun 14 11:00:08 BRT 2023","8795","Cadastro Serviços","Alterar","","","","Alterar Serviços",""
"passed","Wed Jun 14 11:13:36 BRT 2023","Wed Jun 14 11:13:47 BRT 2023","11346","Cadastro Exceção PIS","Alterar","","","","Alterar Exceção PIS",""
"passed","Wed Jun 14 10:56:20 BRT 2023","Wed Jun 14 10:56:30 BRT 2023","10595","Cadastro Grupos de notificações","Cadastro","","","","Cadastrar Grupos de notificações",""
"passed","Wed Jun 14 11:05:47 BRT 2023","Wed Jun 14 11:05:59 BRT 2023","12220","Cadastro Excecao impostos ISS","Alterar","","","","Alterar Excecao impostos ISS",""
"passed","Wed Jun 14 10:58:07 BRT 2023","Wed Jun 14 10:58:16 BRT 2023","8580","Cadastro Perfil","Alterar","","","","Alterar Perfil",""
"passed","Wed Jun 14 11:16:13 BRT 2023","Wed Jun 14 11:16:22 BRT 2023","8545","Cadastro Balança","Excluir","","","","Excluir Balança",""
"passed","Wed Jun 14 10:55:32 BRT 2023","Wed Jun 14 10:55:40 BRT 2023","8555","Cadastro Associação de notificações","Excluir","","","","Excluir Associação de notificações",""
"passed","Wed Jun 14 11:12:03 BRT 2023","Wed Jun 14 11:12:22 BRT 2023","18482","Cadastro Regras ICMS","Cadastro","","","","Cadastro Regras ICMS",""
"passed","Wed Jun 14 10:46:24 BRT 2023","Wed Jun 14 10:46:29 BRT 2023","5611","Cadastro Departamento loja","Botão Produto","","","","Botão Produto",""
"passed","Wed Jun 14 11:15:27 BRT 2023","Wed Jun 14 11:15:36 BRT 2023","8941","Cadastro Algoritimos","Alterar","","","","Alterar Algoritimos",""
